City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
46,Swift Current,CA,2020-04-18 01:24:08,50.28,-107.8,44.6,75,90,12.75,overcast clouds,0.0,0.0
47,Nikolskoye,RU,2020-04-18 01:24:09,59.7,30.79,37.4,91,75,15.66,broken clouds,0.0,0.0
48,Lebu,CL,2020-04-18 01:24:09,-37.62,-73.65,61.66,92,100,5.12,light rain,0.51,0.0
49,Vaini,TO,2020-04-18 01:24:09,-21.2,-175.2,82.4,69,20,10.29,smoke,0.0,0.0
50,Saint-Philippe,RE,2020-04-18 01:24:09,-21.36,55.77,73.4,69,75,9.17,broken clouds,0.0,0.0
51,Qaanaaq,GL,2020-04-18 01:24:10,77.48,-69.36,13.35,82,0,3.85,clear sky,0.0,0.0
52,Nemuro,JP,2020-04-18 01:24:10,43.32,145.57,57.2,28,20,5.82,few clouds,0.0,0.0
53,Edson,CA,2020-04-18 01:24:10,53.58,-116.44,46.4,52,1,8.05,clear sky,0.0,0.0
54,San Patricio,MX,2020-04-18 01:24:11,19.22,-104.7,78.8,74,5,9.78,clear sky,0.0,0.0
55,Saldanha,ZA,2020-04-18 01:24:11,-33.01,17.94,53.6,76,62,3.36,broken clouds,0.0,0.0
56,Ingham,US,2020-04-18 01:24:11,42.6,-84.38,35.01,87,90,2.71,overcast clouds,0.0,0.0
57,Faya,SA,2020-04-18 01:24:11,18.39,42.45,68.0,93,1,6.93,clear sky,0.0,0.0
58,Swan Hill,AU,2020-04-18 01:24:11,-35.34,143.55,58.64,55,8,7.67,clear sky,0.0,0.0
59,Yerbogachen,RU,2020-04-18 01:21:10,61.28,108.01,16.97,89,33,9.24,scattered clouds,0.0,0.0
60,Bubaque,GW,2020-04-18 01:24:12,11.28,-15.83,80.91,63,7,21.41,clear sky,0.0,0.0
61,Brae,GB,2020-04-18 01:24:12,60.4,-1.35,37.4,73,5,2.24,clear sky,0.0,0.0
62,Port Hardy,CA,2020-04-18 01:24:13,50.7,-127.42,53.6,71,40,13.87,scattered clouds,0.0,0.0
63,Clyde River,CA,2020-04-18 01:24:13,70.47,-68.59,6.8,77,90,14.99,light snow,0.0,0.0
64,Yaan,NG,2020-04-18 01:24:13,7.38,8.57,81.54,70,80,11.77,broken clouds,0.0,0.0
65,Atar,MR,2020-04-18 01:24:14,20.52,-13.05,77.77,24,83,4.25,broken clouds,0.0,0.0
66,Beni,CD,2020-04-18 01:24:15,0.5,29.47,63.61,74,100,2.3,light rain,1.72,0.0
67,Sesheke,ZM,2020-04-18 01:24:15,-17.48,24.3,64.4,93,33,1.12,scattered clouds,0.0,0.0
68,Bardiyah,LY,2020-04-18 01:20:07,31.76,25.09,58.59,78,12,7.56,few clouds,0.0,0.0
69,Ponta Do Sol,PT,2020-04-18 01:24:15,32.67,-17.1,57.0,70,15,7.0,few clouds,0.0,0.0
70,Kavieng,PG,2020-04-18 01:24:15,-2.57,150.8,81.95,74,94,1.03,overcast clouds,0.0,0.0
71,Pangnirtung,CA,2020-04-18 01:22:35,66.15,-65.71,1.85,89,100,4.25,overcast clouds,0.0,0.0
72,Salinopolis,BR,2020-04-18 01:24:16,-0.61,-47.36,78.53,83,100,5.91,light rain,2.32,0.0
73,Vardo,NO,2020-04-18 01:24:16,70.37,31.11,33.48,96,100,27.13,light snow,0.0,0.94
74,Waingapu,ID,2020-04-18 01:24:16,-9.66,120.26,82.51,78,36,6.15,scattered clouds,0.0,0.0
75,Naze,JP,2020-04-18 01:24:17,28.37,129.48,69.8,88,75,2.24,light intensity shower rain,0.0,0.0
76,Cockburn Town,TC,2020-04-18 01:24:17,21.46,-71.14,78.84,80,0,18.34,clear sky,0.0,0.0
77,Grand-Santi,GF,2020-04-18 01:24:17,4.25,-54.38,74.37,93,100,3.2,light rain,1.18,0.0
78,Daru,PG,2020-04-18 01:24:18,-9.08,143.21,84.09,71,81,6.11,broken clouds,0.0,0.0
79,Hithadhoo,MV,2020-04-18 01:24:18,-0.6,73.08,83.73,79,73,12.3,light rain,0.21,0.0
80,Poopo,BO,2020-04-18 01:24:19,-18.37,-66.97,44.6,70,75,11.41,broken clouds,0.0,0.0
81,Tautira,PF,2020-04-18 01:24:19,-17.73,-149.15,87.8,66,86,6.93,overcast clouds,0.0,0.0
82,Orissaare,EE,2020-04-18 01:24:19,58.56,23.08,39.0,70,7,8.99,clear sky,0.0,0.0
83,Port Elizabeth,ZA,2020-04-18 01:22:06,-33.92,25.57,62.6,88,80,5.82,broken clouds,0.0,0.0
84,Jiuquan,CN,2020-04-18 01:24:20,39.74,98.52,48.43,31,89,6.26,overcast clouds,0.0,0.0
85,Hobart,AU,2020-04-18 01:24:20,-42.88,147.33,55.99,43,20,17.22,few clouds,0.0,0.0
86,Muravlenko,RU,2020-04-18 01:24:20,63.79,74.52,37.99,91,100,16.2,overcast clouds,0.0,0.0
87,Butaritari,KI,2020-04-18 01:24:20,3.07,172.79,82.47,80,94,16.69,moderate rain,3.22,0.0
88,Amarillo,US,2020-04-18 01:22:26,35.22,-101.83,50.0,43,1,5.82,clear sky,0.0,0.0
89,Mount Gambier,AU,2020-04-18 01:24:21,-37.83,140.77,59.0,62,90,5.82,overcast clouds,0.0,0.0
90,Kanigiri,IN,2020-04-18 01:24:21,15.4,79.52,75.29,92,6,5.35,clear sky,0.0,0.0
91,Solnechnyy,RU,2020-04-18 01:24:21,50.72,136.63,39.18,61,47,3.18,scattered clouds,0.0,0.0
92,Omboue,GA,2020-04-18 01:23:44,-1.57,9.26,78.03,88,100,6.15,overcast clouds,0.0,0.0
93,Victoria,HK,2020-04-18 01:22:17,22.29,114.16,77.0,73,100,8.01,overcast clouds,0.0,0.0
94,Atuona,PF,2020-04-18 01:24:22,-9.8,-139.03,82.22,74,87,13.09,overcast clouds,0.0,0.0
95,Bredasdorp,ZA,2020-04-18 01:24:23,-34.53,20.04,55.0,87,97,4.7,overcast clouds,0.0,0.0
96,Vao,NC,2020-04-18 01:24:23,-22.67,167.48,74.84,69,61,8.21,broken clouds,0.0,0.0
97,Carnarvon,AU,2020-04-18 01:20:16,-24.87,113.63,80.6,69,95,5.82,overcast clouds,0.0,0.0
98,Qaqortoq,GL,2020-04-18 01:24:23,60.72,-46.03,30.2,68,98,14.99,overcast clouds,0.0,0.0
99,Mae Sai,TH,2020-04-18 01:24:23,20.43,99.88,79.0,69,83,0.58,mist,0.0,0.0
100,Harnosand,SE,2020-04-18 01:24:24,62.63,17.94,35.01,85,0,11.41,clear sky,0.0,0.0
101,Puerto Ayora,EC,2020-04-18 01:24:24,-0.74,-90.35,78.8,88,75,3.36,broken clouds,0.0,0.0
102,East London,ZA,2020-04-18 01:24:24,-33.02,27.91,65.86,82,1,12.21,clear sky,0.0,0.0
103,Bundaberg,AU,2020-04-18 01:23:02,-24.85,152.35,86.0,45,74,6.93,broken clouds,0.0,0.0
104,La Ciotat,FR,2020-04-18 01:24:25,43.17,5.6,58.46,79,100,8.39,overcast clouds,0.0,0.0
105,Kaitangata,NZ,2020-04-18 01:24:25,-46.28,169.85,53.01,83,100,24.0,moderate rain,3.7,0.0
106,Jinchang,CN,2020-04-18 01:24:25,38.5,102.17,48.0,26,60,7.56,broken clouds,0.0,0.0
107,Eyl,SO,2020-04-18 01:24:26,7.98,49.82,82.38,77,48,10.74,light rain,0.51,0.0
108,Luanda,AO,2020-04-18 01:24:26,-8.84,13.23,78.8,94,75,85.23,broken clouds,0.0,0.0
109,Birao,CF,2020-04-18 01:24:26,10.28,22.79,76.87,13,89,5.77,overcast clouds,0.0,0.0
110,Amapa,BR,2020-04-18 01:24:26,1.0,-52.0,73.49,93,100,0.25,light rain,2.06,0.0
111,Umm Kaddadah,SD,2020-04-18 01:23:47,13.6,26.69,74.88,16,10,12.84,clear sky,0.0,0.0
112,Ha Giang,VN,2020-04-18 01:24:27,22.83,104.98,75.45,80,100,3.02,light rain,0.2,0.0
113,Geraldton,AU,2020-04-18 01:22:49,-28.77,114.6,77.0,61,40,8.05,scattered clouds,0.0,0.0
114,Bilma,NE,2020-04-18 01:24:27,18.69,12.92,79.41,14,0,4.09,clear sky,0.0,0.0
115,Kieta,PG,2020-04-18 01:24:28,-6.22,155.63,85.23,64,67,0.22,light rain,0.28,0.0
116,Hasaki,JP,2020-04-18 01:24:28,35.73,140.83,57.2,93,75,20.8,light intensity shower rain,0.0,0.0
117,La Ronge,CA,2020-04-18 01:23:33,55.1,-105.28,41.0,60,75,20.8,broken clouds,0.0,0.0
118,Sorong,ID,2020-04-18 01:22:23,-0.88,131.25,85.28,72,14,2.53,light rain,0.24,0.0
119,Praia Da Vitoria,PT,2020-04-18 01:24:29,38.73,-27.07,59.0,82,20,5.97,few clouds,0.0,0.0
120,Mehamn,NO,2020-04-18 01:24:29,71.04,27.85,35.26,93,100,23.17,light snow,0.0,0.93
121,Tual,ID,2020-04-18 01:24:29,-5.67,132.75,84.25,76,87,9.66,light rain,0.42,0.0
122,Bataipora,BR,2020-04-18 01:24:29,-22.3,-53.27,62.19,68,21,3.51,few clouds,0.0,0.0
123,Kenai,US,2020-04-18 01:24:29,60.55,-151.26,48.2,70,90,5.08,overcast clouds,0.0,0.0
124,Provideniya,RU,2020-04-18 01:24:30,64.38,-173.3,26.92,96,100,19.46,light snow,0.0,0.42
125,Chokurdakh,RU,2020-04-18 01:22:43,70.63,147.92,-5.76,90,18,4.09,few clouds,0.0,0.0
