City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
447,Sehithwa,BW,75.65,scattered clouds,-20.47,22.72,MONLEK GUEST HOUSE
449,Oranjestad,AW,80.6,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
452,Topchanchi,IN,76.64,scattered clouds,23.9,86.2,SHAAN-E-PUNJAB HOTEL
462,Araouane,ML,89.11,clear sky,18.9,-3.53,
466,Koumac,NC,80.65,overcast clouds,-20.57,164.28,Le Monitel
472,Road Town,VG,80.01,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
473,Mani,CO,84.15,broken clouds,4.82,-72.29,Hotel Belgrado
474,Basco,PH,77.74,overcast clouds,20.45,121.97,Nathaniel's Lodge
480,Gusau,NG,79.34,scattered clouds,12.16,6.66,Crystal Merit Suites & Apartment
487,Cayenne,GF,75.2,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
488,Nishihara,JP,77.0,scattered clouds,26.18,127.76,Minshuku Agaihama
492,Tadine,NC,79.25,scattered clouds,-21.55,167.88,
498,Pundaguitan,PH,81.9,broken clouds,6.37,126.17,Leonardo Family Beach House 1
504,Koumra,TD,88.09,broken clouds,8.91,17.55,Motel Espoir
505,Mount Isa,AU,89.6,few clouds,-20.73,139.5,ibis Styles Mt Isa Verona
511,Turbat,PK,75.07,clear sky,26.0,63.04,BOQ's
524,Balabac,PH,84.79,broken clouds,7.99,117.06,Sing and Swing Lodge
532,Oistins,BB,80.6,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
541,Sibolga,ID,77.16,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
